label,f1,f2,f3,radial_crack,matrix_cracking,fiber_breakage,fiber_splitting,delamination,indentation,transverse_crack,cross_shaped_crack,penetration,interfacial_debonding,bending_cracks,fiber_pullout,hybrid_interface_debonding,fiber_bending,permanent_deformation,compression_buckling
SS,Glass,Carbon,Aramid,,,1,,1,1,,,,,,,,,,
SN,Carbon,Flax,,,1,1,1,1,1,,,,,1,,,,,
SN,Carbon,Flax,,,,1,,1,,,,,,,,,,,
SN,Glass,Kenaf,,,,1,1,,,,,,1,,1,,,,
SN,Carbon,Basalt,,,1,1,,1,,,,1,,,1,1,,,
SN,Glass,Sisal,,,,,1,,,,,,,,1,,,,
NN,Basalt,Flax,,,1,,1,,,,,,,,,,,,
NN,Jute,Hemp,Flax,,1,1,,,,,,,1,,1,,,,
NN,Oil palm,Jute,,,1,1,,,,,,,1,,1,,,,
NN,Jute,Cotton,,,1,,,,,,,,1,,1,,,,
SN,Glass,Empty Fruit Bunch,,,1,1,,,,,,,,,1,,,,
SN,Glass,Jute,,,1,1,,1,,,,1,,,,,,,
SN,Glass,Jute,,,1,1,1,1,,,,,1,,1,,,,
SN,Glass,Kenaf,,,,1,,,,,,,,,,,,,
SN,Carbon,Basalt,,,1,,,1,,,,,,,1,,,,
SN,Glass,Carbon,Prosopis juliflora bark fiber,,,1,,,,,,,,,,1,,,
SN,Carbon,Flax,,,,1,,1,1,,1,1,1,,1,,,,
SS,Glass,Carbon,,1,1,1,,1,,,,1,,,1,,,,
SS,Glass,Carbon,,,1,1,,1,,,,,,,,,,,
SS,Glass,Carbon,,,,1,1,1,1,,1,,,,,,,1,
SS,Glass,Carbon,,,,,,1,,,,,,,,1,,,
SS,Carbon,Aramid,,,,,1,1,,1,,1,1,,,,,,1
SS,Glass,Carbon,,,1,1,,1,,,,,1,,1,,,,
SS,Glass,Carbon,,,,1,,1,,,1,1,,,,,,1,
SN,Carbon,Basalt,,,,1,,1,,,1,1,,,,,,1,
SN,Glass,Carbon,Basalt,,,1,,1,,,1,1,,,,,,1,
SS,Glass,Aramid,,,1,1,,1,,,,,,,1,,,,
SS,Carbon,Aramid,,,1,1,,,,,,,,,1,,,,
SS,Glass,Carbon,,,1,1,,,,,,,1,,1,,,,
SS,Carbon,Aramid,,,,1,,1,,,,,,,,,,,
SS,Glass,Carbon,,,1,1,,1,,,,,,,,,,1,
SN,Glass,Banana,Sisal,,1,1,,,,,,,,,,,,,
SN,Aramid,Basalt,,,,1,,1,1,,1,,,,,,,1,
NN,Jute,Basalt,,,1,,,1,,,,,,,,,,,
SN,Glass,Kenaf,,,,1,,1,,,,,1,,1,,,,
SN,Glass,Banana,,,1,,,1,,,,,,,1,,,,
SN,Glass,Jute,,,1,1,,1,,,,1,,,,,,,
SN,Glass,Kenaf,,,1,1,,1,,,,,,,,,,,
SN,Carbon,Jute,,,,1,,1,,,,,,,,,,,
NN,Flax,Basalt,,,1,1,,1,,,,,,,1,,,,
SN,Aramid,Basalt,,,1,1,,1,,,,,,,1,,,,
