label,f1,f2,f3,resin,resin_type,layup,mm,nft,nftm,impact_test,standard,vf1,vf2,vf3,vm,mass,v,e,ts,tm,fs,fm,it
NN,Sisal,Cotton,,Isophthalic polyester,TS,,HL+CM,No,,Izod,ASTM D256,20.0,20.0,0.0,60.0,,,,64.00,0.54,270.40,3.60,0.04
NN,Sisal,Cotton,,Isophthalic polyester,TS,,HL+CM,No,,Izod,ASTM D256,25.0,25.0,0.0,50.0,,,,42.45,0.45,230.45,3.10,0.04
SS,Glass,Carbon,Aramid,Epoxy,TS,S,RTM,,,Drop weight,ASTM D7136,26.0,26.0,6.5,41.5,5.47,3.1,27,,,391.84,23.95,22.50
SS,Glass,Carbon,Aramid,Epoxy,TS,S,RTM,,,Drop weight,ASTM D7136,13.0,26.0,13.0,48.0,5.47,3.1,27,,,411.67,27.91,21.96
SS,Glass,Carbon,Aramid,Epoxy,TS,S,RTM,,,Drop weight,ASTM D7136,6.5,26.0,19.5,48.0,5.47,3.1,27,,,458.76,31.56,20.35
S,Carbon,,,Epoxy,TS,,VI,,,Charpy,ASTM A370,61.0,0.0,0.0,39.0,,,,,120.00,800.00,100.00,21.76
SN,Carbon,Flax,,Epoxy,TS,I,VI,No,,Charpy,ASTM A370,47.0,8.0,0.0,45.0,,,,,99.00,720.00,70.00,23.12
N,Flax,,,Epoxy,TS,,VI,No,,Charpy,ASTM A370,38.0,0.0,0.0,62.0,,,,,18.00,200.00,18.00,2.72
S,Glass,,,Unsaturated polyester,TS,,Sheet molding,,,Izod,ASTM D256,30.0,0.0,0.0,70.0,,,,42.00,1.80,,5.00,0.32
N,Kenaf,,,Unsaturated polyester,TS,,Sheet molding,Yes,Alkali,Izod,ASTM D256,30.0,0.0,0.0,70.0,,,,39.00,2.30,,30.00,0.03
SN,Glass,Kenaf,,Unsaturated polyester,TS,I,Sheet molding,Yes,Alkali,Izod,ASTM D256,15.0,15.0,0.0,70.0,,,,22.00,1.60,,12.00,0.60
N,Basalt,,,Epoxy,TS,,VI,No,,Drop weight,ASTM D7136,28.2,0.0,0.0,71.8,1.25,7.7,36.75,,,339.01,12.55,16.70
N,Hemp,,,Epoxy,TS,,VI,No,,Drop weight,ASTM D7136,20.2,0.0,0.0,79.8,1.25,7.7,36.75,,,188.26,7.45,8.20
N,Flax,,,Epoxy,TS,,VI,No,,Drop weight,ASTM D7136,24.8,0.0,0.0,75.2,1.25,7.7,36.75,,,142.87,4.77,12.40
SN,Glass,Flax,Basalt,Epoxy,TS,S,VI,No,,Drop weight,ASTM D7136,2.3,11.7,7.2,78.8,1.25,7.7,36.75,,,271.71,10.12,19.80
SN,Glass,Hemp,Basalt,Epoxy,TS,S,VI,No,,Drop weight,ASTM D7136,2.6,8.6,11.4,77.5,1.25,7.7,36.75,,,149.92,5.30,14.30
NN,Flax,Hemp,Basalt,Epoxy,TS,S,VI,No,,Drop weight,ASTM D7136,9.1,8.0,5.6,77.4,1.25,7.7,36.75,,,215.65,5.98,25.10
S,Carbon,,,Epoxy,TS,,RTM,,,Drop weight,ASTM D7136,32.5,0.0,0.0,67.5,,,4.85,,,593.48,38.70,2.30
N,Basalt,,,Epoxy,TS,,RTM,No,,Drop weight,ASTM D7136,31.5,0.0,0.0,68.5,,,4.85,,,229.34,14.35,1.84
SN,Carbon,Basalt,,Epoxy,TS,I,RTM,No,,Drop weight,ASTM D7136,14.8,17.3,0.0,67.9,,,4.97,,,350.84,25.84,2.14
SN,Carbon,Basalt,,Epoxy,TS,S,RTM,No,,Drop weight,ASTM D7136,14.8,17.3,0.0,67.9,,,4.96,,,418.68,24.20,2.27
S,Glass,,,Epoxy,TS,,HL,,,Izod,ASTM D4812,22.4,0.0,0.0,77.6,,,,100.77,,,,2.18
SN,Glass,Sisal,,Epoxy,TS,,HL,No,,Izod,ASTM D4812,3.4,18.8,0.0,77.8,,,,71.22,,,,1.43
N,Sisal,,,Unsaturated polyester,TS,,HL,No,,Izod,ASTM D256,20.0,0.0,0.0,80.0,,,,19.60,,54.10,,0.43
N,Bamboo,,,Unsaturated polyester,TS,,HL,No,,Izod,ASTM D256,20.0,0.0,0.0,80.0,,,,23.10,,55.40,,0.58
NN,Sisal,Bamboo,,Unsaturated polyester,TS,,HL,Yes,Alkali,Izod,ASTM D256,10.0,10.0,0.0,80.0,,,,38.40,,78.20,,0.89
SN,Glass,Bamboo,,Polypropylene,TP,,CM,No,,Izod,ASTM D256,20.0,40.0,0.0,40.0,,,,12.50,,,,0.06
SN,Glass,Kenaf,,Polypropylene,TP,,CM,No,,Izod,ASTM D256,20.0,40.0,0.0,40.0,,,,12.00,,,,0.08
SN,Glass,Kenaf,Bamboo,Polypropylene,TP,,CM,No,,Izod,ASTM D256,20.0,30.0,10.0,40.0,,,,18.00,,,,0.09
N,Oil palm,,,Epoxy,TS,,,No,,Izod,ASTM D256,40.0,0.0,0.0,60.0,,,,,,41.70,2.30,0.30
N,Jute,,,Epoxy,TS,,,No,,Izod,ASTM D256,40.0,0.0,0.0,60.0,,,,,,75.50,4.32,0.10
NN,Jute,Oil palm,,Epoxy,TS,S,,No,,Izod,ASTM D256,32.0,8.0,0.0,60.0,,,,,,44.30,2.68,0.21
N,Jute,,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,36.0,0.0,0.0,64.0,,1.5,,80.19,9.58,121.80,7.64,4.05
SN,Glass,Jute,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,4.4,31.2,0.0,64.4,,1.5,,87.85,10.95,139.98,9.11,11.78
SN,Glass,Jute,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,9.1,23.0,0.0,67.9,,1.5,,109.90,11.29,159.80,11.06,21.59
SN,Glass,Jute,,Isothalic polyester,TS,,HL,No,,Izod,ASTM D256,14.4,16.3,0.0,69.3,,1.5,,123.94,12.47,159.85,12.38,27.23
NN,Banana,Sisal,,Unsaturated polyester,TS,,CM,No,,Izod,NA,9.5,9.5,0.0,81.0,,,25,38.00,1.35,47.50,2.25,0.50
NN,Banana,Sisal,,Unsaturated polyester,TS,,CM,No,,Izod,NA,16.0,16.0,0.0,68.0,,,25,51.00,1.44,54.00,2.38,0.98
NN,Banana,Sisal,,Unsaturated polyester,TS,,CM,No,,Izod,NA,20.0,20.0,0.0,60.0,,,25,57.50,1.60,62.50,2.84,1.23
NN,Banana,Sisal,,Unsaturated polyester,TS,,RTM,No,,Izod,NA,10.5,10.5,0.0,79.0,,,25,51.50,1.62,57.50,2.28,0.42
NN,Banana,Sisal,,Unsaturated polyester,TS,,RTM,No,,Izod,NA,14.5,14.5,0.0,71.0,,,25,61.50,1.87,67.50,2.51,0.86
NN,Banana,Sisal,,Unsaturated polyester,TS,,RTM,No,,Izod,NA,21.0,21.0,0.0,58.0,,,25,72.50,1.94,80.00,3.01,1.16
NN,Banana,Sisal,,Unsaturated polyester,TS,I,HL+CM,No,,Izod,NA,40.0,10.0,0.0,50.0,,,25,62.00,,52.00,,5.63
SS,Glass,Carbon,,Unsaturated polyester,TS,S,HL,,,Izod,ASTM D256,7.1,43.2,0.0,49.7,,,150,105.00,,225.00,,2.35
SS,Glass,Carbon,,Unsaturated polyester,TS,I,HL,,,Izod,ASTM D256,14.7,33.6,0.0,51.6,,,150,110.00,,255.00,,2.77
SS,Glass,Carbon,,Unsaturated polyester,TS,I,HL,,,Izod,ASTM D256,23.0,23.3,0.0,53.7,,,150,98.00,,220.00,,2.22
SN,Carbon,Basalt,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,43.1,7.3,0.0,49.6,,,150,128.00,,405.00,,1.97
SN,Carbon,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,33.5,15.1,0.0,51.4,,,150,145.00,,448.00,,1.78
SN,Carbon,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,23.2,23.5,0.0,53.4,,,150,65.00,,145.00,,1.52
SN,Glass,Basalt,,Unsaturated polyester,TS,S,HL,No,,Izod,ASTM D256,33.2,8.5,0.0,58.2,,,150,70.00,,155.00,,1.14
SN,Glass,Basalt,,Unsaturated polyester,TS,I,HL,No,,Izod,ASTM D256,24.9,17.0,0.0,58.1,,,150,79.00,,175.00,,0.89
